x,y,count
13.0,26.0,1.0
14.0,19.0,1.0
14.0,23.0,1.0
14.0,28.0,1.0
17.0,28.0,1.0
17.0,60.0,1.0
17.0,61.0,2.0
18.0,60.0,1.0
19.0,8.0,1.0
19.0,9.0,1.0
19.0,10.0,2.0
19.0,13.0,2.0
19.0,17.0,2.0
19.0,18.0,1.0
19.0,28.0,1.0
19.0,58.0,1.0
19.0,60.0,1.0
20.0,13.0,1.0
20.0,28.0,1.0
20.0,52.0,2.0
20.0,54.0,1.0
22.0,59.0,3.0
22.0,62.0,1.0
23.0,6.0,1.0
23.0,29.0,1.0
23.0,44.0,1.0
23.0,45.0,2.0
23.0,51.0,4.0
23.0,54.0,6.0
23.0,55.0,1.0
23.0,57.0,1.0
23.0,59.0,1.0
24.0,42.0,3.0
24.0,43.0,1.0
24.0,44.0,7.0
24.0,45.0,13.0
24.0,46.0,1.0
24.0,47.0,2.0
24.0,49.0,1.0
24.0,53.0,4.0
24.0,59.0,2.0
25.0,9.0,1.0
25.0,10.0,1.0
25.0,11.0,1.0
25.0,24.0,3.0
25.0,25.0,3.0
25.0,27.0,6.0
25.0,29.0,3.0
25.0,30.0,1.0
25.0,31.0,4.0
25.0,32.0,2.0
25.0,33.0,1.0
25.0,35.0,3.0
25.0,37.0,2.0
25.0,38.0,2.0
25.0,39.0,2.0
25.0,40.0,2.0
25.0,41.0,1.0
25.0,42.0,1.0
25.0,44.0,1.0
25.0,45.0,2.0
25.0,47.0,1.0
25.0,62.0,1.0
26.0,10.0,1.0
26.0,12.0,2.0
26.0,13.0,3.0
26.0,15.0,2.0
26.0,16.0,1.0
26.0,17.0,1.0
26.0,18.0,2.0
26.0,19.0,3.0
26.0,20.0,3.0
26.0,21.0,1.0
26.0,22.0,2.0
26.0,26.0,2.0
26.0,27.0,1.0
26.0,29.0,1.0
26.0,42.0,1.0
26.0,44.0,3.0
26.0,45.0,4.0
26.0,63.0,1.0
27.0,7.0,3.0
27.0,8.0,1.0
27.0,10.0,1.0
27.0,13.0,1.0
27.0,15.0,1.0
27.0,42.0,1.0
27.0,45.0,2.0
27.0,53.0,1.0
27.0,56.0,1.0
27.0,59.0,1.0
28.0,3.0,2.0
28.0,5.0,1.0
28.0,19.0,1.0
28.0,20.0,1.0
28.0,22.0,3.0
28.0,42.0,1.0
28.0,44.0,1.0
28.0,45.0,2.0
28.0,59.0,1.0
28.0,62.0,1.0
29.0,23.0,1.0
29.0,45.0,1.0
29.0,53.0,1.0
29.0,59.0,1.0
30.0,15.0,5.0
30.0,17.0,1.0
30.0,22.0,1.0
30.0,24.0,1.0
30.0,42.0,1.0
30.0,44.0,1.0
30.0,45.0,2.0
30.0,47.0,1.0
30.0,53.0,1.0
30.0,62.0,2.0
31.0,25.0,2.0
31.0,44.0,2.0
31.0,45.0,1.0
31.0,46.0,2.0
31.0,62.0,1.0
32.0,15.0,1.0
32.0,38.0,2.0
32.0,41.0,1.0
32.0,44.0,1.0
32.0,45.0,1.0
32.0,46.0,1.0
32.0,59.0,2.0
32.0,62.0,1.0
33.0,26.0,1.0
33.0,29.0,1.0
33.0,30.0,5.0
33.0,37.0,1.0
